reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,label
A2QGOE9VHBNPKS,B005188T90,Outdoor Fun,"[2, 2]",These can be found at target for about 18 but they are great little kits to pair with a alcohol stove for making coffeecoco tea etc Might not be the best for cooking a meal as they are deep and narrow to stir but work very well for heating up liquids and broth The cups are nice too very well insulated the outside does not get hot I only leave one in there to fit more stuff in the vessel Hope this review is helpful,5.0,Great cookset,1375660800,"08 5, 2013",5
A10YMY9ZUFBL1P,B000NJHD1W,Dont Be a Troll,"[2, 2]",I purchased these about 2 weeks ago and I really like them so far I used to and still do train with the heavy grip spring grips but I find that these are MUCH better for bringing to schoolPros Comfortable materiallightcool lookingwont shred your skinCan use for just fingersVery comfortable motion in order to squeezenear impossible to hurt self by pinchingCons lack of heavier gripsIm 58 about 155 and right out of the box I was able to squeeze out 25 reps on the 50 with relative ease My hands are very big the same size as my 63 220 pound friend so Im assuming that may factor in to the easeOverall this is an absolutely fantastic product and come lacrosse season Im going to be ripping twine like no other,5.0,Great just wish there were heavier ones,1291075200,"11 30, 2010",5
A2TKLBP7VJR2US,B006QF3TW4,Mark Alan Piegols,"[2, 2]",If you are thirsty and do not want to wait for a drink of water while on the trailthis will give you a quick way to clean water and quench your thirstlight and relatively small good for a day trip pack in case you get lost,4.0,Easy way to clean water quickly,1377561600,"08 27, 2013",5
A1NJR3LIISIRHQ,B000S5ODN2,William,"[0, 0]",Paracord is a nice addition to any camping backpack or bugoutbag It can be used for a million different things This particular paracord seems to be as good as any other Ive seen I thought it was a little pricey for 100 feet of the stuff thats why I gave it four stars instead of five but whatever I will say the seller got it here quick So hey I guess there was a silver lining in there somewhere after all,4.0,It is what it is,1364688000,"03 31, 2013",5
A383DI3P3DUFTQ,B0064VEUNM,nocoolnames,"[3, 3]",This defiantly works better than plain old clp on rails this is the first grease Ive used on my guns but it seems to do a decent job I put just a small dab on the rails of my handguns and they slide a little smoother,5.0,Good grease,1331510400,"03 12, 2012",5
A2TEMHC4L6DFP1,B000Q04NKW,Bryan Balak,"[0, 0]",These boxes are great if youre a reloader The plastic hinge is designed to last and they seal tightly MTM includes labels to indicate the powder load bullet weight etc This takes all the guesswork out of knowing what kind of rounds your putting into your firearms,5.0,Simply Awesome,1346803200,"09 5, 2012",5
A8KBCNZSGUI9C,B0009PUR4A,Richard J Johnson,"[0, 0]",This mess kit is better than average It has about everything you would need For some reason when its packed up its a bit noisy and rattles in your backpack Im not crazy about aluminum I dont mind the extra weight of stainless like the USGI kit This one is not as easy to keep clean,3.0,I would Actually Give This a 35,1385164800,"11 23, 2013",5
A16LF4CHGNPM7B,B000LGL7BY,wjw,"[0, 0]",This item is made of quality materials It will make a great stocking stuffer this season for the Sportsman in the family,5.0,Great Gift,1348963200,"09 30, 2012",5
A3LJMD597DPT05,B004N62I6G,BTS34 BTS34,"[0, 0]",These are better then some of the heavier weight gloves Ive got  I Run and bike in them quite often when its cooler out  They do a great job of wicking and keeping your hands dry but also offer a lot of dexterity because they are thin,5.0,great light weight gloves,1394496000,"03 11, 2014",5
A1329DUCBZAHPJ,B001DZT8BS,Benjamin,"[0, 0]",fits perfectly  in my monsoon gearslinger pack and securely holds my compact pistol it is fully adjustable to the size of your trigger guard I would suggest getting your carry permit before walking around with your weapon,5.0,if you own a Maxpedition backpack with a concealed pocket you need this,1374624000,"07 24, 2013",5
A2G4YIO49106HS,B002RC2UN4,texinstyle,"[1, 1]",the retension system works great holding the knife and is a really smooth draw once you work with it a few times but getting it back into the sheath can be a pain the chutes dont contact the knife properly and the knife gets wedged the release system really only works on the draw and is awkward to operate to assist in resheathing so i think there is plenty of room for improvement there but the knife itself is great,4.0,the knife is great sheath needs some work,1364947200,"04 3, 2013",5
A2IMXULGCT0A6X,B002Y1IO7E,ynkhlwto,"[0, 0]",My daughter thinks it is ok to ride around at night without a light  so I had to buy one to get her to have one This works great  and does not take away from the looks of her vintage ride,5.0,perfect,1374883200,"07 27, 2013",5
A39RRGUN5MG108,B0000C53GH,Dave,"[0, 0]",What to say about a sotgun belt  Its adjustible  easty to put on and off and holds the shells good  Can not comment on longevity cause i just purchased it,5.0,It works,1358467200,"01 18, 2013",5
A4BEV3882S4DB,B009S9AQPI,Patricia L Edwards,"[0, 0]",They were nowhere close to fitting my rifle And one had several burrs on it from poor manufacturing Wouldnt recommend,1.0,Junk,1372550400,"06 30, 2013",5
A2J79L160EOHPR,B003JWEUI4,Brian S Schieck firstbs,"[0, 0]",This is a nice mat serves as a good assembly reference I now have one for Glock  Springfield XD  and Sig P220,5.0,TekMat  Sprinfield XD,1381276800,"10 9, 2013",5
A3FWQUMY0Q2DDS,B006ESJEE0,Kenneth N,"[0, 0]",Great item makes a huge difference over the A2 post  I was able to shoot subMOA at 200 yards which is better than I did with my 3x12 scope,5.0,Highly recommend,1385251200,"11 24, 2013",5
A2Z10INIM6SIYA,B008I4XFWU,Amazon Customer,"[0, 0]",great value for the price  Its kind of bulky but the foam is nice and soft and make situps not hurt my back,4.0,soft mat,1384387200,"11 14, 2013",5
A1NM2QNCNU27CW,B00AJWR6SI,Andrew Andrew,"[2, 2]",I got this as an addon to the vise product i have not used to fired live round but for bore siting it worked very well i dont see any issues with thisUPDATE 6jun2013I have now used this 2 times to fire my AR10 308 and it is flawless it dos not move and the adjustment are easy I did have to put a little of the wd40 lithium grease to help stuff get moving but now its great the cloth does like to lift off and i think some super77 will fix that If not i may tape it downstill stand by the 5 star rating,5.0,this is great,1366329600,"04 19, 2013",5
A1MNOHH1R6MPZF,B000QGJN60,HikerMiker,"[1, 1]",Expeditions tents seem to require heavier guy linesand these Figure 9 Carabiners work great for two on one guy lines,5.0,Great for bigger tent flys,1371945600,"06 23, 2013",5
A12SSS4GJP6XNT,B0066DD4XK,Squiz101,"[1, 1]",Installation can be a bit of pain because they want to curl up into their packing shape tightly wound  Letting them soften up in the warm sun helped  I rolled the bike out to the driveway hung it on the car rack and off I went to my bike riding adventure  Arrived and took the bike of the rack oops flat tire on the front  Not one but two thorns probably from my back yard punctured through the tire through the new Rhinodillo and into the tube  So I patched the two holes and inspected the rear  Found 2 thorns in the rear tire but they did not penetrate the Rhinodillo  Not sure how to rate this product 5050 I guess,3.0,Maybe better than nothing,1387843200,"12 24, 2013",5
A2YX5UKUEUPAPD,B00HBZGT6G,M Tillman,"[1, 2]",Exactly as advertised this is useful for a variety of projects  I never use this stuff for anything requiring more than a few pounds of strength so I dont are whether this product meets the milspec for strength  The price is about the same as you pay everywhere and the prime shipping is a bonus,4.0,Good Paracord good price,1400976000,"05 25, 2014",5
